,Switchboard,Columbia Games corpus,D64
How to conduct,Spontaneous,Spontaneous,Spontaneous
Type of conversation,Topic-based,Task-oriented dyadic,Naturalistic
Monologue or dialogue,Dialogue,Dialogue,Dialogue
No. of participants,2,2,4 to 5
